Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
16735,,Italy,21-04-20,183957,24648
34758,,United Kingdom,02-05-20,182260,28131
16734,,Italy,20-04-20,181228,24114
30861,New York,US,11-04-20,181026,8627
16733,,Italy,19-04-20,178972,23660
25393,,Spain,15-04-20,177644,18708
34757,,United Kingdom,01-05-20,177454,27510
16732,,Italy,18-04-20,175925,23227
25392,,Spain,14-04-20,172541,18056
16731,,Italy,17-04-20,172434,22745
30860,New York,US,10-04-20,172348,7867
34756,,United Kingdom,30-04-20,171253,26771
25391,,Spain,13-04-20,170099,17756
16730,,Italy,16-04-20,168941,22170
14120,,France,28-04-20,167605,23629
14124,,France,02-05-20,166976,24729
25390,,Spain,12-04-20,166831,17209
14122,,France,30-04-20,165764,24345
14123,,France,01-05-20,165764,24563
34755,,United Kingdom,29-04-20,165221,26097
16729,,Italy,15-04-20,165155,21645
14121,,France,29-04-20,165093,24056
14580,,Germany,02-05-20,164967,6812
14119,,France,27-04-20,164589,23262
14579,,Germany,01-05-20,164077,6736
25389,,Spain,11-04-20,163027,16606
14578,,Germany,30-04-20,163009,6623
16728,,Italy,14-04-20,162488,21067
30859,New York,US,09-04-20,161779,7067
14577,,Germany,29-04-20,161539,6467
34754,,United Kingdom,28-04-20,161145,25302
14118,,France,26-04-20,160847,22825
14117,,France,25-04-20,160292,22583
14576,,Germany,28-04-20,159912,6314
16727,,Italy,13-04-20,159516,20465
14575,,Germany,27-04-20,158758,6126
14116,,France,24-04-20,158636,22214
25388,,Spain,10-04-20,158273,16081
14574,,Germany,26-04-20,157770,5976
34753,,United Kingdom,27-04-20,157149,24393
14115,,France,23-04-20,157026,21825
14113,,France,21-04-20,156921,20765
14573,,Germany,25-04-20,156513,5877
16726,,Italy,12-04-20,156363,19899
14572,,Germany,24-04-20,154999,5760
14114,,France,22-04-20,154715,21309
14112,,France,20-04-20,154188,20240
25387,,Spain,09-04-20,153222,15447
14571,,Germany,23-04-20,153129,5575
34752,,United Kingdom,26-04-20,152840,24055
16725,,Italy,11-04-20,152271,19468
14111,,France,19-04-20,151808,19694
30858,New York,US,08-04-20,151061,6268
14570,,Germany,22-04-20,150648,5279
34751,,United Kingdom,25-04-20,148377,23635
14569,,Germany,21-04-20,148291,5033
25386,,Spain,08-04-20,148220,14792
16724,,Italy,10-04-20,147577,18849
14568,,Germany,20-04-20,147065,4862
14109,,France,17-04-20,146923,18661
14110,,France,18-04-20,146906,19303
14567,,Germany,19-04-20,145184,4586
14108,,France,16-04-20,144944,17901
16723,,Italy,09-04-20,143626,18279
34750,,United Kingdom,24-04-20,143464,22792
14566,,Germany,18-04-20,143342,4459
25385,,Spain,07-04-20,141942,14045
14565,,Germany,17-04-20,141397,4352
30857,New York,US,07-04-20,139875,5489
16722,,Italy,08-04-20,139422,17669
34749,,United Kingdom,23-04-20,138078,21787
14564,,Germany,16-04-20,137698,4052
25384,,Spain,06-04-20,136675,13341
16721,,Italy,07-04-20,135586,17127
14563,,Germany,15-04-20,134753,3804
34748,,United Kingdom,22-04-20,133495,21060
16720,,Italy,06-04-20,132547,16523
14107,,France,15-04-20,132473,17148
30856,New York,US,06-04-20,131815,4698
25383,,Spain,05-04-20,131646,12641
14562,,Germany,14-04-20,131359,3294
14561,,Germany,13-04-20,130072,3194
14106,,France,14-04-20,129257,15712
34747,,United Kingdom,21-04-20,129044,20223
16719,,Italy,05-04-20,128948,15887
14560,,Germany,12-04-20,127854,3022
25382,,Spain,04-04-20,126168,11947
14559,,Germany,11-04-20,124908,2736
34746,,United Kingdom,20-04-20,124743,19051
16718,,Italy,04-04-20,124632,15362
27006,,Turkey,02-05-20,124375,3336
14105,,France,13-04-20,124298,14967
23358,,Russia,02-05-20,124054,1222
30654,New Jersey,US,02-05-20,123717,7742
30855,New York,US,05-04-20,123160,4159
27005,,Turkey,01-05-20,122392,3258
14558,,Germany,10-04-20,122171,2767
30653,New Jersey,US,01-05-20,121190,7538
14104,,France,12-04-20,120633,14393
27004,,Turkey,30-04-20,120204,3174
34745,,United Kingdom,19-04-20,120067,18492
16717,,Italy,03-04-20,119827,14681
25381,,Spain,03-04-20,119199,11198
30652,New Jersey,US,30-04-20,118652,7228
14557,,Germany,09-04-20,118181,2607
27003,,Turkey,29-04-20,117589,3081
30651,New Jersey,US,29-04-20,116365,6771
16716,,Italy,02-04-20,115242,13915
27002,,Turkey,28-04-20,114653,2992
23357,,Russia,01-05-20,114431,1169
34744,,United Kingdom,18-04-20,114217,17994
30650,New Jersey,US,28-04-20,113856,6442
30854,New York,US,04-04-20,113833,3565
14556,,Germany,08-04-20,113296,2349
27001,,Turkey,27-04-20,112261,2900
25380,,Spain,02-04-20,112065,10348
30649,New Jersey,US,27-04-20,111188,6044
16715,,Italy,01-04-20,110574,13155
27000,,Turkey,26-04-20,110130,2805
30648,New Jersey,US,26-04-20,109038,5938
34743,,United Kingdom,17-04-20,108692,16879
26999,,Turkey,25-04-20,107773,2706
14555,,Germany,07-04-20,107663,2016
23356,,Russia,30-04-20,106498,1073
16714,,Italy,31-03-20,105792,12428
30647,New Jersey,US,25-04-20,105498,5914
26998,,Turkey,24-04-20,104912,2600
25379,,Spain,01-04-20,104118,9387
14554,,Germany,06-04-20,103374,1810
34742,,United Kingdom,16-04-20,103093,15944
30853,New York,US,03-04-20,102987,2935
30646,New Jersey,US,24-04-20,102196,5683
26997,,Turkey,23-04-20,101790,2491
16713,,Italy,30-03-20,101739,11591
14553,,Germany,05-04-20,100123,1584
30645,New Jersey,US,23-04-20,100025,5426
23355,,Russia,29-04-20,99399,972
26996,,Turkey,22-04-20,98674,2376
34741,,United Kingdom,15-04-20,98476,14915
16712,,Italy,29-03-20,97689,10779
3522,,Brazil,02-05-20,97100,6761
16290,,Iran,02-05-20,96448,6156
14552,,Germany,04-04-20,96092,1444
25378,,Spain,31-03-20,95923,8464
30644,New Jersey,US,22-04-20,95914,5150
16289,,Iran,01-05-20,95646,6091
26995,,Turkey,21-04-20,95591,2259
16288,,Iran,30-04-20,94640,6028
34740,,United Kingdom,14-04-20,93873,14073
14103,,France,11-04-20,93790,13832
16287,,Iran,29-04-20,93657,5957
23354,,Russia,28-04-20,93558,867
16286,,Iran,28-04-20,92584,5877
30852,New York,US,02-04-20,92506,2373
16711,,Italy,28-03-20,92472,10023
30643,New Jersey,US,21-04-20,92387,4753
3521,,Brazil,01-05-20,92202,6412
16285,,Iran,27-04-20,91472,5806
14551,,Germany,03-04-20,91159,1275
26994,,Turkey,20-04-20,90980,2140
14102,,France,10-04-20,90676,13197
16284,,Iran,26-04-20,90481,5710
16283,,Iran,25-04-20,89328,5650
30642,New Jersey,US,20-04-20,88722,4496
34739,,United Kingdom,13-04-20,88621,13029
16282,,Iran,24-04-20,88194,5574
25377,,Spain,30-03-20,87956,7716
3520,,Brazil,30-04-20,87187,6006
23353,,Russia,27-04-20,87147,794
16281,,Iran,23-04-20,87026,5481
16710,,Italy,27-03-20,86498,9134
14101,,France,09-04-20,86334,12210
26993,,Turkey,19-04-20,86306,2017
16280,,Iran,22-04-20,85996,5391
30641,New Jersey,US,19-04-20,85301,4362
16279,,Iran,21-04-20,84802,5297
14550,,Germany,02-04-20,84794,1107
34738,,United Kingdom,12-04-20,84279,12285
30851,New York,US,01-04-20,83948,1941
16278,,Iran,20-04-20,83505,5209
26992,,Turkey,18-04-20,82329,1890
16277,,Iran,19-04-20,82211,5118
14100,,France,08-04-20,82048,10869
30640,New Jersey,US,18-04-20,81420,4070
23352,,Russia,26-04-20,80949,747
16276,,Iran,18-04-20,80868,5031
16709,,Italy,26-03-20,80589,8215
25376,,Spain,29-03-20,80110,6803
3519,,Brazil,29-04-20,79685,5513
16275,,Iran,17-04-20,79494,4958
34737,,United Kingdom,11-04-20,78991,11599
26991,,Turkey,17-04-20,78546,1769
30639,New Jersey,US,17-04-20,78467,3840
14099,,France,07-04-20,78167,10328
16274,,Iran,16-04-20,77995,4869
14549,,Germany,01-04-20,77872,920
16273,,Iran,15-04-20,76389,4777
30850,New York,US,31-03-20,75833,1550
30638,New Jersey,US,16-04-20,75317,3518
16272,,Iran,14-04-20,74877,4683
23351,,Russia,25-04-20,74588,681
14098,,France,06-04-20,74390,8911
16708,,Italy,25-03-20,74386,7503
26990,,Turkey,16-04-20,74193,1643
34736,,United Kingdom,10-04-20,73758,10760
16271,,Iran,13-04-20,73303,4585
3518,,Brazil,28-04-20,73235,5083
25375,,Spain,28-03-20,73235,5982
14548,,Germany,31-03-20,71808,775
16270,,Iran,12-04-20,71686,4474
30637,New Jersey,US,15-04-20,71030,3156
14097,,France,05-04-20,70478,8078
16269,,Iran,11-04-20,70029,4357
26989,,Turkey,15-04-20,69392,1518
16707,,Italy,24-03-20,69176,6820
30636,New Jersey,US,14-04-20,68824,2805
23350,,Russia,24-04-20,68622,615
14096,,France,04-04-20,68605,7560
16268,,Iran,10-04-20,68192,4232
3517,,Brazil,27-04-20,67446,4603
14547,,Germany,30-03-20,66885,645
30849,New York,US,30-03-20,66663,1218
29628,Massachusetts,US,02-05-20,66263,3846
16267,,Iran,09-04-20,66220,4110
25374,,Spain,27-03-20,65719,5138
26988,,Turkey,14-04-20,65111,1403
34735,,United Kingdom,09-04-20,65077,9608
16266,,Iran,08-04-20,64586,3993
30635,New Jersey,US,13-04-20,64584,2443
14095,,France,03-04-20,64338,6507
29627,Massachusetts,US,01-05-20,64311,3716
16706,,Italy,23-03-20,63927,6077
3516,,Brazil,26-04-20,63100,4286
23349,,Russia,23-04-20,62773,555
16265,,Iran,07-04-20,62589,3872
29626,Massachusetts,US,30-04-20,62205,3562
14546,,Germany,29-03-20,62095,533
30634,New Jersey,US,12-04-20,61850,2350
26987,,Turkey,13-04-20,61049,1296
34734,,United Kingdom,08-04-20,60733,8505
16264,,Iran,06-04-20,60500,3739
29625,Massachusetts,US,29-04-20,60265,3405
30848,New York,US,29-03-20,59648,965
3515,,Brazil,25-04-20,59324,4057
16705,,Italy,22-03-20,59138,5476
14094,,France,02-04-20,59105,5387
28716,Illinois,US,02-05-20,58505,2559
29624,Massachusetts,US,28-04-20,58302,3153
16263,,Iran,05-04-20,58226,3603
30633,New Jersey,US,11-04-20,58151,2183
23348,,Russia,22-04-20,57999,513
25373,,Spain,26-03-20,57786,4365
14545,,Germany,28-03-20,57695,433
14093,,France,01-04-20,56989,4403
26986,,Turkey,12-04-20,56956,1198
29623,Massachusetts,US,27-04-20,56462,3003
28715,Illinois,US,01-05-20,56055,2457
16262,,Iran,04-04-20,55743,3452
34733,,United Kingdom,07-04-20,55242,7471
29622,Massachusetts,US,26-04-20,54938,2899
30632,New Jersey,US,10-04-20,54588,1932
3514,,Brazil,24-04-20,54043,3704
16704,,Italy,21-03-20,53578,4825
29621,Massachusetts,US,25-04-20,53348,2730
27576,California,US,02-05-20,53347,2180
16261,,Iran,03-04-20,53183,3294
28714,Illinois,US,30-04-20,52918,2355
23347,,Russia,21-04-20,52763,456
30847,New York,US,28-03-20,52410,728
26985,,Turkey,11-04-20,52167,1101
14092,,France,31-03-20,52128,3523
27575,California,US,01-05-20,52026,2126
34732,,United Kingdom,06-04-20,51608,6433
30631,New Jersey,US,09-04-20,51027,1709
29620,Massachusetts,US,24-04-20,50969,2556
14544,,Germany,27-03-20,50871,342
31566,Pennsylvania,US,02-05-20,50494,2695
16260,,Iran,02-04-20,50468,3160
28713,Illinois,US,29-04-20,50358,2215
27574,California,US,30-04-20,50130,2031
3513,,Brazil,23-04-20,50036,3331
31565,Pennsylvania,US,01-05-20,49579,2635
2724,,Belgium,02-05-20,49517,7765
25372,,Spain,25-03-20,49515,3647
2723,,Belgium,01-05-20,49032,7703
27573,California,US,29-04-20,48747,1946
2722,,Belgium,30-04-20,48519,7594
28712,Illinois,US,28-04-20,48102,2125
31564,Pennsylvania,US,30-04-20,47971,2475
2721,,Belgium,29-04-20,47859,7501
34731,,United Kingdom,05-04-20,47806,5865
16259,,Iran,01-04-20,47593,3036
30630,New Jersey,US,08-04-20,47437,1504
2720,,Belgium,28-04-20,47334,7331
23346,,Russia,20-04-20,47121,405
26984,,Turkey,10-04-20,47029,1006
16703,,Italy,20-03-20,47021,4032
2719,,Belgium,27-04-20,46687,7207
31563,Pennsylvania,US,29-04-20,46327,2373
27572,California,US,28-04-20,46164,1864
2718,,Belgium,26-04-20,46134,7094
29619,Massachusetts,US,23-04-20,46023,2360
28711,Illinois,US,27-04-20,45883,1983
3512,,Brazil,22-04-20,45757,2906
2717,,Belgium,25-04-20,45325,6917
31562,Pennsylvania,US,28-04-20,45137,2046
27571,California,US,27-04-20,44966,1779
30846,New York,US,27-03-20,44876,527
16258,,Iran,31-03-20,44605,2898
14091,,France,30-03-20,44550,3024
30629,New Jersey,US,07-04-20,44416,1232
2716,,Belgium,24-04-20,44293,6679
14543,,Germany,26-03-20,43938,267
28710,Illinois,US,26-04-20,43903,1933
27570,California,US,26-04-20,43558,1725
31561,Pennsylvania,US,27-04-20,43558,1886
29742,Michigan,US,02-05-20,43207,4021
3511,,Brazil,21-04-20,43079,2741
29618,Massachusetts,US,22-04-20,42944,2182
23345,,Russia,19-04-20,42853,361
2715,,Belgium,23-04-20,42797,6490
31560,Pennsylvania,US,26-04-20,42616,1816
22674,,Peru,02-05-20,42534,1200
27569,California,US,25-04-20,42368,1689
29741,Michigan,US,01-05-20,42356,3866
26983,,Turkey,09-04-20,42282,908
34730,,United Kingdom,04-04-20,41903,5221
2714,,Belgium,22-04-20,41889,6262
28709,Illinois,US,25-04-20,41777,1875
16257,,Iran,30-03-20,41495,2757
29740,Michigan,US,30-04-20,41379,3789
27568,California,US,24-04-20,41355,1621
29617,Massachusetts,US,21-04-20,41199,1961
31559,Pennsylvania,US,25-04-20,41153,1793
30628,New Jersey,US,06-04-20,41090,1003
16702,,Italy,19-03-20,41035,3405
2713,,Belgium,21-04-20,40956,5998
3510,,Brazil,20-04-20,40743,2587
22673,,Peru,01-05-20,40459,1124
29739,Michigan,US,29-04-20,40399,3670
21306,,Netherlands,02-05-20,40236,4987
31558,Pennsylvania,US,24-04-20,40208,1747
14090,,France,29-03-20,40174,2606
2712,,Belgium,20-04-20,39983,5828
25371,,Spain,24-03-20,39885,2808
21305,,Netherlands,01-05-20,39791,4893
16062,,India,02-05-20,39699,1323
28708,Illinois,US,24-04-20,39658,1795
27567,California,US,23-04-20,39561,1533
21304,,Netherlands,30-04-20,39316,4795
29738,Michigan,US,28-04-20,39262,3568
21303,,Netherlands,29-04-20,38802,4711
3509,,Brazil,19-04-20,38654,2462
2711,,Belgium,19-04-20,38496,5683
21302,,Netherlands,28-04-20,38416,4566
31557,Pennsylvania,US,23-04-20,38379,1724
16256,,Iran,29-03-20,38309,2640
21301,,Netherlands,27-04-20,38245,4518
26982,,Turkey,08-04-20,38226,812
29737,Michigan,US,27-04-20,38210,3407
34729,,United Kingdom,03-04-20,38168,4461
29615,Massachusetts,US,19-04-20,38077,1706
29616,Massachusetts,US,20-04-20,38077,1706
30845,New York,US,26-03-20,37877,385
21300,,Netherlands,26-04-20,37845,4475
29736,Michigan,US,26-04-20,37778,3315
14089,,France,28-03-20,37575,2314
30627,New Jersey,US,05-04-20,37505,917
27566,California,US,22-04-20,37344,1421
14542,,Germany,25-03-20,37323,206
16061,,India,01-05-20,37257,1223
21299,,Netherlands,25-04-20,37190,4409
2710,,Belgium,18-04-20,37183,5453
29735,Michigan,US,25-04-20,37074,3155
22672,,Peru,30-04-20,36976,1051
28707,Illinois,US,23-04-20,36937,1688
23344,,Russia,18-04-20,36793,313
3508,,Brazil,18-04-20,36658,2354
29734,Michigan,US,24-04-20,36641,3085
21298,,Netherlands,24-04-20,36535,4289
29614,Massachusetts,US,18-04-20,36372,1404
2709,,Belgium,17-04-20,36138,5163
31556,Pennsylvania,US,22-04-20,36082,1673
21297,,Netherlands,23-04-20,35729,4177
16701,,Italy,18-03-20,35713,2978
27565,California,US,21-04-20,35465,1282
28146,Florida,US,02-05-20,35463,1364
16255,,Iran,28-03-20,35408,2517
29733,Michigan,US,23-04-20,35296,2977
31555,Pennsylvania,US,21-04-20,35249,1614
25370,,Spain,23-03-20,35136,2311
28706,Illinois,US,22-04-20,35107,1565
16060,,India,30-04-20,34863,1154
21296,,Netherlands,22-04-20,34842,4054
2708,,Belgium,16-04-20,34809,4857
28145,Florida,US,01-05-20,34728,1314
29613,Massachusetts,US,17-04-20,34402,1245
21295,,Netherlands,21-04-20,34134,3916
30626,New Jersey,US,04-04-20,34124,846
26981,,Turkey,07-04-20,34109,725
29732,Michigan,US,22-04-20,33966,2813
22671,,Peru,29-04-20,33931,943
31554,Pennsylvania,US,20-04-20,33914,1348
34728,,United Kingdom,02-04-20,33718,3747
28144,Florida,US,30-04-20,33690,1268
27564,California,US,20-04-20,33686,1225
3507,,Brazil,17-04-20,33682,2141
2707,,Belgium,15-04-20,33573,4440
21294,,Netherlands,20-04-20,33405,3751
28143,Florida,US,29-04-20,33193,1218
16059,,India,29-04-20,33062,1079
28705,Illinois,US,21-04-20,33059,1468
14541,,Germany,24-03-20,32986,157
14088,,France,27-03-20,32964,1995
31553,Pennsylvania,US,19-04-20,32902,1276
28142,Florida,US,28-04-20,32848,1171
29731,Michigan,US,21-04-20,32667,2575
21293,,Netherlands,19-04-20,32655,3684
16254,,Iran,27-03-20,32332,2378
29612,Massachusetts,US,16-04-20,32181,1108
28141,Florida,US,27-04-20,32138,1088
23343,,Russia,17-04-20,32008,273
29730,Michigan,US,20-04-20,32000,2468
31552,Pennsylvania,US,18-04-20,31652,1042
21292,,Netherlands,18-04-20,31589,3601
28140,Florida,US,26-04-20,31532,1075
28704,Illinois,US,20-04-20,31513,1349
16700,,Italy,17-03-20,31506,2503
27563,California,US,19-04-20,31431,1177
29729,Michigan,US,19-04-20,31424,2391
16058,,India,28-04-20,31324,1008
22670,,Peru,28-04-20,31190,854
2706,,Belgium,14-04-20,31119,4157
32250,Texas,US,02-05-20,30917,863
30844,New York,US,25-03-20,30841,285
28139,Florida,US,25-04-20,30839,1055
29728,Michigan,US,18-04-20,30791,2308
2705,,Belgium,13-04-20,30589,3903
28138,Florida,US,24-04-20,30533,1046
27562,California,US,18-04-20,30491,1140
21291,,Netherlands,17-04-20,30449,3459
3506,,Brazil,16-04-20,30425,1924
28703,Illinois,US,19-04-20,30357,1290
26980,,Turkey,06-04-20,30217,649
29727,Michigan,US,17-04-20,30023,2227
29611,Massachusetts,US,15-04-20,29918,1108
30625,New Jersey,US,03-04-20,29895,646
31551,Pennsylvania,US,17-04-20,29888,921
25980,,Switzerland,02-05-20,29817,1762
25979,,Switzerland,01-05-20,29705,1754
32249,Texas,US,01-05-20,29692,840
5574,Quebec,Canada,02-05-20,29664,2136
28137,Florida,US,23-04-20,29648,987
2704,,Belgium,12-04-20,29647,3600
25978,,Switzerland,30-04-20,29586,1737
34727,,United Kingdom,01-04-20,29474,3095
16057,,India,27-04-20,29451,939
25977,,Switzerland,29-04-20,29407,1716
16253,,Iran,26-03-20,29406,2234
27804,Connecticut,US,02-05-20,29287,2436
25976,,Switzerland,28-04-20,29264,1699
21290,,Netherlands,16-04-20,29214,3315
25975,,Switzerland,27-04-20,29164,1665
28702,Illinois,US,18-04-20,29160,1259
27561,California,US,17-04-20,29157,1037
14087,,France,26-03-20,29155,1696
29286,Louisiana,US,02-05-20,29140,1993
25974,,Switzerland,26-04-20,29061,1610
14540,,Germany,23-03-20,29056,123
25973,,Switzerland,25-04-20,28894,1599
29726,Michigan,US,16-04-20,28809,1996
25369,,Spain,22-03-20,28768,1772
27803,Connecticut,US,01-05-20,28764,2339
32248,Texas,US,30-04-20,28727,812
29285,Louisiana,US,01-05-20,28711,1970
22669,,Peru,27-04-20,28699,782
25972,,Switzerland,24-04-20,28677,1589
5573,Quebec,Canada,01-05-20,28656,2022
25971,,Switzerland,23-04-20,28496,1549
28260,Georgia,US,02-05-20,28331,1177
3505,,Brazil,15-04-20,28320,1736
28136,Florida,US,22-04-20,28309,893
25970,,Switzerland,22-04-20,28268,1509
31550,Pennsylvania,US,16-04-20,28258,841
29610,Massachusetts,US,14-04-20,28164,844
21289,,Netherlands,15-04-20,28153,3134
25969,,Switzerland,21-04-20,28063,1478
29725,Michigan,US,15-04-20,28059,1921
2703,,Belgium,11-04-20,28018,3346
29284,Louisiana,US,30-04-20,28001,1905
16699,,Italy,16-03-20,27980,2158
25968,,Switzerland,20-04-20,27944,1429
23342,,Russia,16-04-20,27938,232
16056,,India,26-04-20,27890,881
28135,Florida,US,21-04-20,27869,867
25967,,Switzerland,19-04-20,27740,1393
27802,Connecticut,US,30-04-20,27700,2257
27560,California,US,16-04-20,27677,956
29283,Louisiana,US,29-04-20,27660,1845
28701,Illinois,US,17-04-20,27578,1132
5572,Quebec,Canada,30-04-20,27550,1859
22668,,Peru,26-04-20,27517,728
28259,Georgia,US,01-05-20,27489,1169
11844,,Ecuador,02-05-20,27464,1371
21288,,Netherlands,14-04-20,27419,2945
25966,,Switzerland,18-04-20,27404,1368
29282,Louisiana,US,28-04-20,27286,1801
32247,Texas,US,29-04-20,27257,754
25965,,Switzerland,17-04-20,27078,1327
26979,,Turkey,05-04-20,27069,574
29281,Louisiana,US,27-04-20,27068,1740
28134,Florida,US,20-04-20,27059,822
16252,,Iran,25-03-20,27017,2077
29724,Michigan,US,14-04-20,27001,1768
29609,Massachusetts,US,13-04-20,26867,844
29280,Louisiana,US,26-04-20,26773,1729
27801,Connecticut,US,29-04-20,26767,2169
31549,Pennsylvania,US,15-04-20,26753,779
25964,,Switzerland,16-04-20,26732,1281
27559,California,US,15-04-20,26686,860
2702,,Belgium,10-04-20,26667,3019
5571,Quebec,Canada,29-04-20,26610,1762
21287,,Netherlands,13-04-20,26551,2823
29279,Louisiana,US,25-04-20,26512,1707
32246,Texas,US,28-04-20,26357,719
11843,,Ecuador,01-05-20,26336,1063
25963,,Switzerland,15-04-20,26336,1239
28133,Florida,US,19-04-20,26314,774
27800,Connecticut,US,28-04-20,26312,2087
16055,,India,25-04-20,26283,825
28258,Georgia,US,30-04-20,26264,1132
29278,Louisiana,US,24-04-20,26140,1660
27799,Connecticut,US,27-04-20,25997,2012
25962,,Switzerland,14-04-20,25936,1174
28257,Georgia,US,29-04-20,25775,1101
5570,Quebec,Canada,28-04-20,25761,1683
29277,Louisiana,US,23-04-20,25739,1599
28700,Illinois,US,16-04-20,25734,1072
25961,,Switzerland,13-04-20,25688,1138
30843,New York,US,24-03-20,25681,210
29723,Michigan,US,13-04-20,25635,1602
30624,New Jersey,US,02-04-20,25590,537
21286,,Netherlands,12-04-20,25587,2737
28132,Florida,US,18-04-20,25492,748
29608,Massachusetts,US,12-04-20,25475,756
31548,Pennsylvania,US,14-04-20,25465,691
24156,,Saudi Arabia,02-05-20,25459,176
25960,,Switzerland,12-04-20,25415,1106
25368,,Spain,21-03-20,25374,1375
27558,California,US,14-04-20,25356,767
23015,,Portugal,01-05-20,25351,1007
22667,,Peru,25-04-20,25331,700
32245,Texas,US,27-04-20,25321,666
27798,Connecticut,US,26-04-20,25269,1924
3504,,Brazil,14-04-20,25262,1532
29276,Louisiana,US,22-04-20,25258,1473
14086,,France,25-03-20,25233,1331
23016,,Portugal,02-05-20,25190,1023
34726,,United Kingdom,31-03-20,25150,2425
25959,,Switzerland,11-04-20,25107,1036
23014,,Portugal,30-04-20,25045,989
2701,,Belgium,09-04-20,24983,2523
5569,Quebec,Canada,27-04-20,24983,1600
32244,Texas,US,26-04-20,24967,651
11842,,Ecuador,30-04-20,24934,900
28256,Georgia,US,28-04-20,24922,1036
14539,,Germany,22-03-20,24873,94
29275,Louisiana,US,21-04-20,24854,1405
16251,,Iran,24-03-20,24811,1934
28131,Florida,US,17-04-20,24759,725
16698,,Italy,15-03-20,24747,1809
11841,,Ecuador,29-04-20,24675,883
28699,Illinois,US,15-04-20,24593,949
27797,Connecticut,US,25-04-20,24583,1865
25958,,Switzerland,10-04-20,24551,1002
16054,,India,24-04-20,24530,780
29274,Louisiana,US,20-04-20,24523,1328
23013,,Portugal,29-04-20,24505,973
23341,,Russia,15-04-20,24490,198
29514,Maryland,US,02-05-20,24473,1251
21285,,Netherlands,11-04-20,24413,2643
23012,,Portugal,28-04-20,24322,948
28255,Georgia,US,27-04-20,24302,995
31547,Pennsylvania,US,13-04-20,24292,589
11840,,Ecuador,28-04-20,24258,871
29722,Michigan,US,12-04-20,24244,1479
32243,Texas,US,25-04-20,24153,638
5568,Quebec,Canada,26-04-20,24109,1516
24155,,Saudi Arabia,01-05-20,24097,169
25957,,Switzerland,09-04-20,24051,948
23011,,Portugal,27-04-20,24027,928
27796,Connecticut,US,24-04-20,23936,1767
26978,,Turkey,04-04-20,23934,501
27557,California,US,13-04-20,23931,714
29273,Louisiana,US,19-04-20,23928,1296
23010,,Portugal,26-04-20,23864,903
32242,Texas,US,24-04-20,23642,624
29721,Michigan,US,11-04-20,23605,1384
29272,Louisiana,US,18-04-20,23580,1267
28254,Georgia,US,26-04-20,23486,916
29513,Maryland,US,01-05-20,23472,1080
3503,,Brazil,13-04-20,23430,1328
2700,,Belgium,08-04-20,23403,2240
23009,,Portugal,25-04-20,23392,880
28130,Florida,US,16-04-20,23343,668
25956,,Switzerland,08-04-20,23280,895
5567,Quebec,Canada,25-04-20,23267,1446
28698,Illinois,US,14-04-20,23248,868
11839,,Ecuador,27-04-20,23240,663
28253,Georgia,US,25-04-20,23222,907
29271,Louisiana,US,17-04-20,23118,1213
27795,Connecticut,US,23-04-20,23100,1639
21284,,Netherlands,10-04-20,23097,2511
16053,,India,23-04-20,23077,721
16250,,Iran,23-03-20,23049,1812
31546,Pennsylvania,US,12-04-20,22938,557
29607,Massachusetts,US,11-04-20,22860,686
